Timestamp,language,problem
10/30/2023 13:38:01,Python,"Hello, World!"
10/30/2023 13:38:03,Python,DNA
10/30/2023 13:38:05,Python,"Hello, World!"
10/30/2023 13:38:07,Scratch,Scratch
10/30/2023 13:38:09,Python,Speller
10/30/2023 13:38:11,Python,"Hello, World!"
10/30/2023 13:38:13,Python,Cash
10/30/2023 13:38:15,Python,Readability
10/30/2023 13:38:17,Python,Cash
10/30/2023 13:38:19,Python,Speller
10/30/2023 13:38:21,Python,Readability
10/30/2023 13:38:23,Python,Scratch
10/30/2023 13:38:25,Python,Speller
10/30/2023 13:38:27,Python,Filter
10/30/2023 13:38:29,Python,DNA
10/30/2023 13:38:31,C,Sort
10/30/2023 13:38:33,Python,Scrabble 
10/30/2023 13:38:35,C,Sort
10/30/2023 13:38:37,C,Sort
10/30/2023 13:38:39,Python,"Hello, World!"
10/30/2023 13:38:41,Python,"Hello, World!"
10/30/2023 13:38:43,Python,Filter
10/30/2023 13:38:45,C,Filter
10/30/2023 13:38:47,C,Sort
10/30/2023 13:38:49,Python,Sort
10/30/2023 13:38:51,Python,Runoff
